Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
53,TM10091630,2150,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.10,-,-,7.50,-,-,-,-,-,-,7.80
54,TM10091751,1108,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.35,-,-,8.15,-,-,-,-,-,-,8.75
55,TM10091944,4291,ȘCOALA GIMNAZIALĂ PARȚA,6.00,-,-,4.10,-,-,-,-,-,-,5.05
56,TM10091953,2268,ȘCOALA GIMNAZIALĂ NR.13 TIMIȘOARA,8.15,-,-,7.20,-,-,-,-,-,-,7.67
57,TM10092043,1637,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.25,-,-,8.40,-,-,-,-,-,-,8.32
58,TM10092230,400,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.35,-,-,9.35,-,-,-,-,-,-,9.35
59,TM10092390,69,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.70,-,-,9.80,-,-,-,-,-,-,9.75
60,TM10092563,1764,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",7.50,-,-,8.90,-,-,-,-,-,-,8.20
61,TM10092686,3345,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.25,-,-,6.45,-,-,-,-,-,-,6.35
62,TM10092827,911,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.80,-,-,8.05,-,-,-,-,-,-,8.92
63,TM10093233,3963,ȘCOALA GIMNAZIALĂ NR.12 TIMIȘOARA,6.95,-,-,4.05,-,-,-,-,-,-,5.50
64,TM10093449,2509,ȘCOALA GIMNAZIALĂ NR.2 TIMIȘOARA,7.15,-,-,7.70,-,-,-,-,-,-,7.42
65,TM10093541,5117,"ȘCOALA GIMNAZIALĂ ""MARTIN ȘUBONI"" JEBEL",3.15,-,-,2.50,-,-,-,-,-,-,2.82
66,TM10093851,4838,ȘCOALA GIMNAZIALĂ SATCHINEZ,4.80,-,-,3.20,-,-,-,-,-,-,4.00
