Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
2695,TM7983147,2385,ȘCOALA GIMNAZIALĂ TORMAC,7.90,-,-,7.20,-,-,-,-,-,-,7.55
2696,TM7983248,5131,ȘCOALA GIMNAZIALĂ TORMAC,2.95,-,-,2.50,-,-,-,-,-,-,2.72
2697,TM7983352,4831,ȘCOALA GIMNAZIALĂ PĂDURENI,4.05,-,-,4.00,-,-,-,-,-,-,4.02
2698,TM7983874,4654,ȘCOALA GIMNAZIALĂ PĂDURENI,5.75,-,-,3.00,-,-,-,-,-,-,4.37
2699,TM7984584,5338,ȘCOALA GIMNAZIALĂ PĂDURENI,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2700,TM7986189,5339,ȘCOALA GIMNAZIALĂ GHILAD,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2701,TM7989221,4031,ȘCOALA GIMNAZIALĂ NR.27 TIMIȘOARA,6.35,-,-,4.50,-,-,-,-,-,-,5.42
2702,TM7991305,4644,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",3.85,-,-,5.00,-,-,-,-,-,-,4.42
2703,TM7991450,3650,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",6.45,-,-,5.45,-,-,-,-,-,-,5.95
2704,TM7991700,5060,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",3.40,-,-,3.15,-,-,-,-,-,-,3.27
2705,TM7991803,5181,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",1.80,-,-,3.00,-,-,-,-,-,-,2.40
2706,TM7991899,1595,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",8.95,-,-,7.75,-,-,-,-,-,-,8.35
2707,TM7992055,5009,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",3.50,-,-,3.50,-,-,-,-,-,-,3.50
2708,TM7992121,4247,ȘCOALA GIMNAZIALĂ PĂDURENI,4.75,-,-,5.50,-,-,-,-,-,-,5.12
2709,TM7992359,2651,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",7.30,-,-,7.20,-,-,-,-,-,-,7.25
2710,TM7992553,2773,ȘCOALA GIMNAZIALĂ NR.2 LUGOJ,8.05,-,-,6.10,-,-,-,-,-,-,7.07
2711,TM7992779,3480,ȘCOALA GIMNAZIALĂ PĂDURENI,8.40,-,-,3.90,-,-,-,-,-,-,6.15
2712,TM7993098,4410,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",5.75,-,-,4.00,-,-,-,-,-,-,4.87
2713,TM7993240,3177,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",7.35,-,-,5.80,-,-,-,-,-,-,6.57
2714,TM7993790,4922,ȘCOALA GIMNAZIALĂ JIMBOLIA,3.10,-,-,4.50,-,-,-,-,-,-,3.80
2715,TM7994081,4839,ȘCOALA GIMNAZIALĂ JIMBOLIA,4.50,-,-,3.50,-,-,-,-,-,-,4.00
2716,TM7994868,4928,ȘCOALA GIMNAZIALĂ JIMBOLIA,2.95,-,-,4.60,-,-,-,-,-,-,3.77
2717,TM7995005,1325,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.55,-,-,8.60,-,-,-,-,-,-,8.57
2718,TM7995045,2795,ȘCOALA GIMNAZIALĂ CENEI,7.60,-,-,6.50,-,-,-,-,-,-,7.05
2719,TM7997018,2508,ȘCOALA GIMNAZIALĂ JIMBOLIA,7.35,-,-,7.50,-,-,-,-,-,-,7.42
2720,TM7997615,4057,ȘCOALA GIMNAZIALĂ BALINȚ,4.30,-,-,6.50,-,-,-,-,-,-,5.40
2721,TM7997966,2082,ȘCOALA GIMNAZIALĂ JIMBOLIA,7.45,-,-,8.30,-,-,-,-,-,-,7.87
2722,TM7998162,2492,ȘCOALA GIMNAZIALĂ NR.2 LUGOJ,8.50,-,-,6.35,-,-,-,-,-,-,7.42
2723,TM7998508,809,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.05,-,-,10.00,-,-,-,-,-,-,9.02
2724,TM7998590,1512,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.55,-,-,8.30,-,-,-,-,-,-,8.42
2725,TM7998703,1154,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.70,-,-,8.75,-,-,-,-,-,-,8.72
2726,TM7999119,2281,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.50,-,-,6.80,-,-,-,-,-,-,7.65
2727,TM7999413,3268,ȘCOALA GIMNAZIALĂ JIMBOLIA,6.95,-,-,5.95,-,-,-,-,-,-,6.45
2728,TM7999795,3304,ȘCOALA GIMNAZIALĂ JIMBOLIA,6.80,-,-,6.00,-,-,-,-,-,-,6.40
2729,TM7999996,4253,ȘCOALA GIMNAZIALĂ JIMBOLIA,6.20,-,-,4.00,-,-,-,-,-,-,5.10
2730,TM8001305,5186,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",2.60,-,-,2.00,-,-,-,-,-,-,2.30
2731,TM8001393,4633,"LICEUL TEHNOLOGIC ""TRAIAN GROZĂVESCU"" NĂDRAG",2.90,-,-,6.00,-,-,-,-,-,-,4.45
2732,TM8002086,2747,ȘCOALA GIMNAZIALĂ UTVIN,6.90,-,-,7.35,-,-,-,-,-,-,7.12
2733,TM8002227,2241,"LICEUL TEOLOGIC ORTODOX ""SFÂNTUL ANTIM IVIREANUL"" TIMIȘOARA",8.80,-,-,6.60,-,-,-,-,-,-,7.70
2734,TM8005331,517,"LICEUL TEORETIC ""BARTÓK BÉLA"" TIMIȘOARA",9.60,-,-,8.70,-,-,Limba maghiara,9.45,-,-,9.25
2735,TM8009976,1941,ȘCOALA GIMNAZIALĂ JIMBOLIA,8.05,-,-,8.00,-,-,-,-,-,-,8.02
2736,TM8010593,1602,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,8.60,-,-,8.10,-,-,-,-,-,-,8.35
2737,TM8018158,1638,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",8.10,-,-,8.55,-,-,-,-,-,-,8.32
2738,TM8019225,2394,ȘCOALA GIMNAZIALĂ DOMINO SERVITE VOITEG,7.70,-,-,7.40,-,-,-,-,-,-,7.55
2739,TM8019460,1968,ȘCOALA GIMNAZIALĂ DOMINO SERVITE VOITEG,7.70,-,-,8.30,-,-,-,-,-,-,8.00
2740,TM8025805,3833,ȘCOALA GIMNAZIALĂ ȘAG,6.80,-,-,4.60,-,-,-,-,-,-,5.70
2741,TM8037039,413,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.90,-,-,9.80,-,-,-,-,-,-,9.35
2742,TM8037254,2844,"ȘCOALA GIMNAZIALĂ NR.19 ""AVRAM IANCU"" TIMIȘOARA",8.10,-,-,5.85,-,-,-,-,-,-,6.97
2743,TM8046158,1116,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.90,-,-,8.60,-,-,-,-,-,-,8.75
2744,TM8046585,2539,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.10,-,-,6.65,-,-,-,-,-,-,7.37
2745,TM8046984,4964,LICEUL DE ARTE PLASTICE TIMIȘOARA,4.80,-,-,2.50,-,-,-,-,-,-,3.65
2746,TM8047768,2389,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA",7.75,-,-,7.35,-,-,-,-,-,-,7.55
2747,TM8048291,4623,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",5.40,-,-,3.50,-,-,-,-,-,-,4.45
2748,TM8048474,2731,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.10,-,-,6.15,-,-,-,-,-,-,7.12
2749,TM8049935,4807,ȘCOALA GIMNAZIALĂ COȘTEIU,4.15,-,-,4.00,-,-,-,-,-,-,4.07
2750,TM8050172,4743,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,4.95,-,-,3.50,-,-,-,-,-,-,4.22
2751,TM8050434,2368,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.50,-,-,7.65,-,-,-,-,-,-,7.57
2752,TM8050665,2996,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.90,-,-,5.65,-,-,-,-,-,-,6.77
2753,TM8050948,30,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",10.00,-,-,9.65,-,-,-,-,-,-,9.82
2754,TM8051378,3092,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.35,-,-,6.00,-,-,-,-,-,-,6.67
2755,TM8052508,1632,ȘCOALA GIMNAZIALĂ SÂNANDREI,8.60,-,-,8.05,-,-,-,-,-,-,8.32
2756,TM8053480,1023,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.70,-,-,9.00,-,-,-,-,-,-,8.85
2757,TM8054062,3306,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.45,-,-,6.35,-,-,-,-,-,-,6.40
2758,TM8054335,178,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.20,-,-,10.00,-,-,-,-,-,-,9.60
2759,TM8054556,3797,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.45,-,-,5.05,-,-,-,-,-,-,5.75
2760,TM8054800,1243,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.95,-,-,9.35,-,-,-,-,-,-,8.65
2761,TM8055338,131,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.75,-,-,9.55,-,-,-,-,-,-,9.65
2762,TM8055911,1279,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.10,-,-,8.10,-,-,-,-,-,-,8.60
2763,TM8056106,1942,ȘCOALA GIMNAZIALĂ NR.2 TIMIȘOARA,7.95,-,-,8.10,-,-,-,-,-,-,8.02
2764,TM8056431,1678,ȘCOALA GIMNAZIALĂ DUDEȘTII NOI,7.80,-,-,8.75,-,-,-,-,-,-,8.27
2765,TM8056702,169,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.50,-,-,9.70,-,-,-,-,-,-,9.60
2766,TM8057058,1775,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.65,-,-,7.70,-,-,-,-,-,-,8.17
2767,TM8057326,778,LICEUL MONTESSORI TIMIȘOARA,9.25,-,-,9.10,-,-,Limba germana,8.75,-,-,9.03
2768,TM8057576,3769,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.40,-,-,5.20,-,-,-,-,-,-,5.80
2769,TM8058149,3915,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.30,-,-,4.85,-,-,-,-,-,-,5.57
2770,TM8058392,1802,ȘCOALA GIMNAZIALĂ NR.18 TIMIȘOARA,7.70,-,-,8.65,-,-,-,-,-,-,8.17
2771,TM8058962,2143,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.60,-,-,7.00,-,-,-,-,-,-,7.80
2772,TM8059231,745,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.70,-,-,8.40,-,-,-,-,-,-,9.05
2773,TM8063413,1769,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.90,-,-,7.45,-,-,-,-,-,-,8.17
2774,TM8064775,746,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.60,-,-,8.50,-,-,-,-,-,-,9.05
2775,TM8066087,2792,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.65,-,-,6.45,-,-,-,-,-,-,7.05
2776,TM8066627,2193,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.50,-,-,7.00,-,-,-,-,-,-,7.75
2777,TM8066856,1422,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.50,-,-,8.50,-,-,-,-,-,-,8.50
2778,TM8067122,3487,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.55,-,-,4.75,-,-,-,-,-,-,6.15
2779,TM8067553,2722,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.10,-,-,7.20,-,-,-,-,-,-,7.15
2780,TM8067785,1335,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.25,-,-,7.85,-,-,-,-,-,-,8.55
2781,TM8068100,2802,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.85,-,-,7.25,-,-,-,-,-,-,7.05
2782,TM8069115,1996,ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA,7.25,-,-,8.70,-,-,-,-,-,-,7.97
2783,TM8069402,975,ȘCOALA GIMNAZIALĂ NR.18 TIMIȘOARA,8.45,-,-,9.35,-,-,-,-,-,-,8.90
2784,TM8069876,560,LICEUL TEOLOGIC BAPTIST TIMIȘOARA,9.25,-,-,9.20,-,-,-,-,-,-,9.22
2785,TM8070107,5340,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2786,TM8071623,1655,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.40,-,-,8.20,-,-,-,-,-,-,8.30
2787,TM8074959,3588,ȘCOALA GIMNAZIALĂ NR.15 TIMIȘOARA,6.85,-,-,5.20,-,-,-,-,-,-,6.02
2788,TM8077042,2056,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.75,-,-,8.05,-,-,-,-,-,-,7.90
2789,TM8077228,1791,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,8.35,-,-,8.00,-,-,-,-,-,-,8.17
2790,TM8077619,1131,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.60,-,-,7.85,-,-,-,-,-,-,8.72
2791,TM8078285,1465,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.65,-,-,7.25,-,-,-,-,-,-,8.45
2792,TM8081984,4441,"ȘCOALA GIMNAZIALĂ ""THEODOR BUCURESCU"" NR.1 SÂNNICOLAU MARE",5.65,-,-,4.00,-,-,-,-,-,-,4.82
2793,TM8101424,5141,"ȘCOALA GIMNAZIALĂ ""NESTOR OPREAN"" NR.2 SÂNNICOLAU MARE",3.40,-,-,3.00,-,-,Limba germana,1.60,-,-,2.66
2794,TM8109300,2272,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,7.95,-,-,7.40,-,-,-,-,-,-,7.67
2795,TM8110004,600,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.80,-,-,9.60,-,-,-,-,-,-,9.20
2796,TM8111329,737,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.75,-,-,9.40,-,-,-,-,-,-,9.07
2797,TM8114329,110,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.45,-,-,9.95,-,-,-,-,-,-,9.70
2798,TM8114407,2537,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",8.30,-,-,6.45,-,-,-,-,-,-,7.37
2799,TM8115332,235,ȘCOALA GIMNAZIALĂ NR.27 TIMIȘOARA,9.65,-,-,9.40,-,-,-,-,-,-,9.52
2800,TM8115496,427,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.40,-,-,9.25,-,-,-,-,-,-,9.32
2801,TM8115883,921,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.05,-,-,8.80,-,-,-,-,-,-,8.92
2802,TM8115947,1198,ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA,9.05,-,-,8.30,-,-,-,-,-,-,8.67
2803,TM8116015,3136,"LICEUL TEOLOGIC ROMANO-CATOLIC ""GERHARDINUM"" TIMIȘOARA",7.50,-,-,5.75,-,-,-,-,-,-,6.62
2804,TM8116125,15,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.85,-,-,9.95,-,-,-,-,-,-,9.90
2805,TM8116169,206,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.55,-,-,9.75,-,-,Limba germana,9.40,-,-,9.56
2806,TM8116181,4122,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",6.75,-,-,3.85,-,-,-,-,-,-,5.30
2807,TM8116208,2204,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",8.10,-,-,7.40,-,-,-,-,-,-,7.75
2808,TM8116249,2197,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",8.35,-,-,7.15,-,-,-,-,-,-,7.75
2809,TM8116368,798,ȘCOALA GIMNAZIALĂ NR.18 TIMIȘOARA,9.00,-,-,9.05,-,-,-,-,-,-,9.02
2810,TM8116458,2997,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA",7.80,-,-,5.75,-,-,-,-,-,-,6.77
2811,TM8116668,955,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.10,-,-,8.70,-,-,-,-,-,-,8.90
2812,TM8116763,375,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.45,-,-,9.30,-,-,-,-,-,-,9.37
2813,TM8116798,3504,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",6.95,-,-,5.30,-,-,-,-,-,-,6.12
2814,TM8116953,989,"LICEUL TEORETIC ""ALEXANDRU MOCIONI"" CIACOVA",8.85,-,-,8.90,-,-,-,-,-,-,8.87
2815,TM8117010,815,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",9.45,-,-,8.55,-,-,-,-,-,-,9.00
2816,TM8117105,1246,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.25,-,-,8.00,-,-,-,-,-,-,8.62
2817,TM8117208,2952,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.05,-,-,6.65,-,-,-,-,-,-,6.85
2818,TM8117421,490,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",9.40,-,-,9.15,-,-,-,-,-,-,9.27
2819,TM8117520,2425,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.00,-,-,7.00,-,-,-,-,-,-,7.50
2820,TM8117557,1451,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",8.60,-,-,8.35,-,-,-,-,-,-,8.47
2821,TM8120678,213,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA",9.70,-,-,9.40,-,-,-,-,-,-,9.55
2822,TM8120704,2224,LICEUL WALDORF TIMIȘOARA,8.15,-,-,7.30,-,-,-,-,-,-,7.72
2823,TM8120774,935,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",8.70,-,-,9.15,-,-,-,-,-,-,8.92
2824,TM8120892,296,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.35,-,-,9.85,-,-,Limba germana,9.20,-,-,9.46
2825,TM8120911,1055,"LICEUL TEORETIC ""NIKOLAUS LENAU"" TIMIȘOARA",9.20,-,-,8.85,-,-,Limba germana,8.40,-,-,8.81
2826,TM8128536,1886,"LICEUL TEORETIC ""DAVID VONIGA"" GIROC",8.35,-,-,7.80,-,-,-,-,-,-,8.07
2827,TM8128600,3520,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.45,-,-,4.75,-,-,-,-,-,-,6.10
2828,TM8128605,62,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,9.90,-,-,9.60,-,-,-,-,-,-,9.75
2829,TM8131350,4876,ȘCOALA GIMNAZIALĂ UIVAR,4.80,-,-,3.00,-,-,-,-,-,-,3.90
2830,TM8131443,4756,ȘCOALA GIMNAZIALĂ UIVAR,4.40,-,-,4.00,-,-,-,-,-,-,4.20
2831,TM8131480,1100,ȘCOALA GIMNAZIALĂ UIVAR,8.70,-,-,8.85,-,-,-,-,-,-,8.77
2832,TM8131561,4504,ȘCOALA GIMNAZIALĂ UIVAR,5.05,-,-,4.35,-,-,-,-,-,-,4.70
2833,TM8131742,4003,ȘCOALA GIMNAZIALĂ UIVAR,4.95,-,-,6.00,-,-,-,-,-,-,5.47
2834,TM8132049,1305,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.40,-,-,7.75,-,-,-,-,-,-,8.57
2835,TM8132464,3219,ȘCOALA GIMNAZIALĂ UIVAR,7.55,-,-,5.50,-,-,-,-,-,-,6.52
2836,TM8132513,3714,"LICEUL TEORETIC ""ALEXANDRU MOCIONI"" CIACOVA",8.00,-,-,3.70,-,-,-,-,-,-,5.85
2837,TM8132603,4708,ȘCOALA GIMNAZIALĂ UIVAR,4.10,-,-,4.50,-,-,-,-,-,-,4.30
2838,TM8132673,243,"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA",9.45,-,-,9.60,-,-,-,-,-,-,9.52
2839,TM8132750,2654,ȘCOALA GIMNAZIALĂ UIVAR,6.55,-,-,7.95,-,-,-,-,-,-,7.25
2840,TM8132892,5341,ȘCOALA GIMNAZIALĂ UIVAR,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2841,TM8133083,3357,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.45,-,-,6.20,-,-,-,-,-,-,6.32
2842,TM8133192,5342,ȘCOALA GIMNAZIALĂ UIVAR,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2843,TM8152782,216,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",9.60,-,-,9.50,-,-,-,-,-,-,9.55
2844,TM8160234,5086,ȘCOALA GIMNAZIALĂ TOMNATIC,3.60,-,-,2.50,-,-,-,-,-,-,3.05
2845,TM8160328,1809,ȘCOALA GIMNAZIALĂ GĂVOJDIA,8.60,-,-,7.70,-,-,-,-,-,-,8.15
2846,TM8180390,5030,ȘCOALA GIMNAZIALĂ TOMNATIC,2.85,-,-,4.00,-,-,-,-,-,-,3.42
2847,TM8183952,1242,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.20,-,-,9.10,-,-,-,-,-,-,8.65
2848,TM8188370,5343,ȘCOALA GIMNAZIALĂ BRESTOVĂȚ,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2849,TM8218141,1397,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.45,-,-,7.55,-,-,-,-,-,-,8.50
2850,TM8219386,5344,ȘCOALA GIMNAZIALĂ DUDEȘTII NOI,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2851,TM8219728,2921,"LICEUL TEORETIC ""JEAN LOUIS CALDERON"" TIMIȘOARA",8.30,-,-,5.45,-,-,-,-,-,-,6.87
2852,TM8219836,5063,ȘCOALA GIMNAZIALĂ DUDEȘTII NOI,3.50,-,-,3.00,-,-,-,-,-,-,3.25
2853,TM8220065,5102,LICEUL TEORETIC PECIU NOU,3.40,-,-,2.50,-,-,-,-,-,-,2.95
2854,TM8236287,2443,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,9.20,-,-,5.75,-,-,-,-,-,-,7.47
2855,TM8236306,2517,ȘCOALA GIMNAZIALĂ TEREMIA MARE,8.45,-,-,6.35,-,-,-,-,-,-,7.40
2856,TM8236486,2251,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.80,-,-,7.60,-,-,-,-,-,-,7.70
2857,TM8242114,250,ȘCOALA GIMNAZIALĂ NR.27 TIMIȘOARA,9.05,-,-,10.00,-,-,-,-,-,-,9.52
2858,TM8243514,2861,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.45,-,-,5.45,-,-,-,-,-,-,6.95
2859,TM8247882,4526,ȘCOALA GIMNAZIALĂ BETHAUSEN,5.30,-,-,4.00,-,-,-,-,-,-,4.65
2860,TM8256670,2914,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,6.70,-,-,7.10,-,-,-,-,-,-,6.90
2861,TM8258186,2774,ȘCOALA GIMNAZIALĂ NR.4 TIMIȘOARA,8.00,-,-,6.15,-,-,-,-,-,-,7.07
2862,TM8258402,1177,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",8.65,-,-,8.75,-,-,-,-,-,-,8.70
2863,TM8258596,3737,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",6.85,-,-,4.80,-,-,-,-,-,-,5.82
2864,TM8259349,3277,LICEUL TEORETIC PECIU NOU,6.35,-,-,6.55,-,-,-,-,-,-,6.45
2865,TM8259679,4075,"LICEUL TEORETIC ""WILLIAM SHAKESPEARE"" TIMIȘOARA",5.25,-,-,5.50,-,-,-,-,-,-,5.37
2866,TM8259864,4450,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",6.95,-,-,2.65,-,-,-,-,-,-,4.80
2867,TM8259916,2390,"ȘCOALA GIMNAZIALĂ NR.16 ""TAKE IONESCU"" TIMIȘOARA",7.75,-,-,7.35,-,-,-,-,-,-,7.55
2868,TM8259952,2936,LICEUL TEORETIC RECAȘ,6.35,-,-,7.40,-,-,-,-,-,-,6.87
2869,TM8260864,5345,ȘCOALA GIMNAZIALĂ REMETEA MARE,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2870,TM8261323,2422,ȘCOALA GIMNAZIALĂ UIVAR,8.20,-,-,6.80,-,-,-,-,-,-,7.50
2871,TM8261463,4738,ȘCOALA GIMNAZIALĂ UIVAR,5.80,-,-,2.65,-,-,-,-,-,-,4.22
2872,TM8261476,4147,ȘCOALA GIMNAZIALĂ REMETEA MARE,6.05,-,-,4.50,-,-,-,-,-,-,5.27
2873,TM8262920,3435,ȘCOALA GIMNAZIALĂ UIVAR,6.70,-,-,5.75,-,-,-,-,-,-,6.22
2874,TM8262968,2232,ȘCOALA GIMNAZIALĂ UIVAR,7.60,-,-,7.85,-,-,-,-,-,-,7.72
2875,TM8263128,5346,ȘCOALA GIMNAZIALĂ UIVAR,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2876,TM8263368,3224,ȘCOALA GIMNAZIALĂ UIVAR,6.55,-,-,6.50,-,-,-,-,-,-,6.52
2877,TM8263411,5184,ȘCOALA GIMNAZIALĂ UIVAR,2.15,-,-,2.50,-,-,-,-,-,-,2.32
2878,TM8270689,5347,ȘCOALA GIMNAZIALĂ VARIAȘ,Absent,-,-,Absent,-,-,-,-,-,-,Absent
2879,TM8281092,2619,"ȘCOALA GIMNAZIALĂ ""EMILIA LUNGU"" IZVIN",7.15,-,-,7.45,-,-,-,-,-,-,7.30
2880,TM8281975,3049,ȘCOALA GIMNAZIALĂ COȘTEIU,7.25,-,-,6.20,-,-,-,-,-,-,6.72
